Time              Gyro_X     Gyro_Y     Gyro_Z    Accel_X    Accel_Y    Accel_Z
372659.362700    0.07930    0.18719    0.27353   -0.16888   -0.01022    9.81911
372659.372700    0.11287    0.31759    0.24809   -0.16286   -0.01847    9.82772
372659.382700    0.13825    0.14015    0.44954   -0.17543   -0.01361    9.82165
372659.392700    0.12972   -0.04990    0.24230   -0.17008   -0.01613    9.81488
372659.402700    0.07643    0.12617    0.32997   -0.16878   -0.02425    9.82636
372659.412700    0.12296   -0.02962    0.48873   -0.15432   -0.00489    9.82760
372659.422700    0.01478    0.00229    0.27697   -0.16812   -0.01196    9.82554
372659.432700    0.20128    0.04807    0.29788   -0.16808   -0.01685    9.84234
372659.442700    0.11671    0.15710    0.46553   -0.17100   -0.00842    9.82587
372659.452700    0.15464    0.09024    0.33908   -0.17252   -0.02608    9.81782
372659.462700    0.17246   -0.03415    0.26665   -0.16929   -0.02616    9.82887
372659.472700    0.06131    0.20432    0.31495   -0.16562   -0.01062    9.81162
372659.482700    0.02475    0.19005    0.25915   -0.16788   -0.01925    9.81811
372659.492700    0.14232    0.10210    0.12932   -0.16807   -0.01794    9.83700
372659.502700   -0.01226    0.00905    0.24013   -0.16538   -0.00264    9.82546
372659.512700   -0.10021    0.17275    0.08268   -0.16234   -0.01856    9.82451
372659.522700    0.10090    0.00441    0.35919   -0.16874   -0.01497    9.82486
372659.532700    0.29456   -0.02303    0.18020   -0.16734   -0.01205    9.82911
372659.542700    0.07214    0.10456    0.36125   -0.17508   -0.02512    9.81212
372659.552700   -0.00928   -0.01461    0.24924   -0.16342   -0.03016    9.82354
372659.562700    0.02235    0.23801    0.19864   -0.17459   -0.00303    9.82583
372659.572700   -0.00034    0.09843    0.34137   -0.15431   -0.01567    9.82519
372659.582700    0.11579    0.06784    0.17802   -0.15817   -0.01692    9.82985
372659.592700   -0.02790    0.05982    0.25863   -0.17158   -0.01618    9.82380
372659.602700    0.23703    0.03953    0.22414   -0.16913   -0.01590    9.82236
372659.612700    0.04618    0.00802    0.35432   -0.16326   -0.02147    9.83203
372659.622700    0.14685   -0.00395    0.16495   -0.16424   -0.01140    9.82838
372659.632700    0.03598    0.16931    0.41843   -0.16689   -0.00744    9.82336
372659.642700   -0.02223   -0.01020    0.40554   -0.16272   -0.02090    9.82882
372659.652700    0.06515   -0.01014    0.29880   -0.16743   -0.00949    9.82766
372659.662700    0.14410    0.15791    0.30539   -0.16887   -0.01846    9.80706
372659.672700    0.03094   -0.00390    0.33638   -0.17144   -0.01815    9.82417
372659.682700    0.14141    0.18260    0.12084   -0.16653   -0.00529    9.82442
372659.692700    0.13585    0.05775    0.26431   -0.16537   -0.01086    9.81697
372659.702700    0.13963    0.13241    0.27955   -0.16948   -0.02214    9.83383
372659.712700    0.04836    0.07191    0.35592   -0.17539   -0.00792    9.82552
372659.722700    0.10680   -0.07970    0.31713   -0.17227   -0.01682    9.81382
372659.732700   -0.08818    0.13654    0.09821   -0.16540   -0.01783    9.84020
372659.742700    0.14158   -0.06612    0.29908   -0.16670   -0.00113    9.82902
372659.752700   -0.11121    0.21182    0.37025   -0.16652   -0.02243    9.81778
372659.762700    0.22088    0.01742    0.45098   -0.15661   -0.02097    9.82988
372659.772700    0.00745    0.17641    0.45625   -0.16717   -0.01399    9.82378
372659.782700    0.08159    0.05031    0.31112   -0.17463   -0.02099    9.81850
372659.792700   -0.02693   -0.17441    0.15178   -0.17083   -0.03361    9.83535
372659.802700    0.19257    0.09356    0.16811   -0.15609   -0.00376    9.82724
372659.812700    0.20191    0.11751    0.37047   -0.17055   -0.02535    9.81532
372659.822700    0.04492    0.09414    0.45567   -0.16526   -0.01843    9.83593
372659.832700    0.19228    0.07489    0.32372   -0.16750   -0.01179    9.81413
372659.842700    0.06910    0.11282    0.25245   -0.17227   -0.01436    9.82272
372659.852700    0.03392    0.12548    0.16954   -0.16436   -0.01816    9.83592
372659.862700   -0.01146    0.08898    0.12983   -0.16054   -0.01101    9.82267
372659.872700   -0.01919    0.16851    0.19251   -0.16787   -0.01544    9.82129
372659.882700    0.24735    0.01014    0.26138   -0.16411   -0.03134    9.83105
372659.892700    0.11562    0.21125    0.25835   -0.16727   -0.00535    9.81800
372659.902700    0.15751    0.03312    0.17372   -0.18018   -0.01884    9.82312
372659.912700    0.04933    0.17641    0.39792   -0.15679   -0.01794    9.83484
372659.922700    0.03151    0.02126    0.21217   -0.18164   -0.00386    9.81444
372659.932700    0.02716    0.05225    0.38657   -0.17231   -0.01607    9.82095
372659.942700    0.17469    0.05798    0.38955   -0.16666   -0.02112    9.83275
372659.952700    0.01329    0.21606    0.44238   -0.17357   -0.00063    9.81904
372659.962700    0.11585    0.03936    0.10709   -0.17450   -0.02193    9.82849
372659.972700    0.09735    0.08468    0.33541   -0.16182   -0.01733    9.83128
372659.982700    0.21113   -0.03180    0.05157   -0.17664   -0.01291    9.81737
372659.992700    0.01788    0.08044    0.30458   -0.15671   -0.02712    9.82101
372660.002700    0.00275    0.08967    0.39798   -0.15904   -0.02776    9.82637
372660.012700    0.05426    0.02160    0.35615   -0.18093   -0.00617    9.81767
372660.022700    0.11247    0.00940    0.33295   -0.17014   -0.02192    9.82099
372660.032700    0.38423    0.05105    0.14272   -0.17009   -0.01948    9.83167
372660.042700    0.12193    0.09947    0.21939   -0.17432   -0.02098    9.81457
372660.052700    0.06469    0.13728    0.29920   -0.16053   -0.03156    9.81357
372660.062700    0.15080   -0.14960    0.17808   -0.15892   -0.01490    9.82769
372660.072700    0.12072    0.28298    0.34887   -0.17491   -0.01396    9.81381
372660.082700    0.03930    0.03581    0.49377   -0.17700   -0.01888    9.82312
372660.092700    0.04687    0.07660    0.20575   -0.16879   -0.01537    9.83092
372660.102700    0.06704   -0.11585    0.35225   -0.18013   -0.01410    9.81060
372660.112700    0.17498    0.15911    0.16518   -0.16651   -0.01728    9.81739
372660.122700    0.00573    0.06755    0.12657   -0.16228   -0.02020    9.83023
372660.132700   -0.00481   -0.04377    0.17447   -0.16871   -0.00993    9.81590
372660.142700    0.12834    0.29095    0.19068   -0.16598   -0.01910    9.81240
372660.152700    0.09333    0.02584    0.26889   -0.17458   -0.01564    9.83057
372660.162700   -0.00149    0.02624    0.29020   -0.16843   -0.01894    9.81669
372660.172700    0.00189    0.07426    0.36125   -0.16294   -0.02510    9.81387
372660.182700    0.29209   -0.01112    0.24798   -0.16941   -0.01686    9.82630
372660.192700    0.09929    0.01931    0.47676   -0.17020   -0.01434    9.81273
372660.202700    0.07609    0.05197    0.28510   -0.15244   -0.03220    9.81748
372660.212700    0.11763    0.02280    0.32040   -0.16632   -0.01109    9.83587
372660.222700    0.04125    0.03822    0.27937   -0.18095   -0.00658    9.81090
372660.232700    0.13069    0.02659    0.19257   -0.16967   -0.02526    9.83029
372660.242700    0.17848    0.17086    0.18495   -0.16760   -0.00560    9.82763
372660.252700   -0.00940    0.09872    0.26396   -0.18028   -0.01936    9.81742
372660.262700    0.08153    0.04927    0.28596   -0.16425   -0.02463    9.82243
372660.272700   -0.06698    0.16346    0.35443   -0.17510   -0.01248    9.81878
372660.282700    0.03128    0.19956    0.09276   -0.17371   -0.01996    9.82170
372660.292700    0.14158    0.18472    0.16673   -0.17168   -0.01353    9.82806
372660.302700   -0.03570    0.00338    0.14381   -0.15800   -0.01524    9.83339
372660.312700    0.09345    0.10657    0.22002   -0.17681   -0.01446    9.80953
372660.322700    0.00069    0.21016    0.39299   -0.17304   -0.01855    9.82026
372660.332700    0.11912    0.06732    0.07552   -0.16706   -0.01598    9.82629
372660.342700    0.03902   -0.02521    0.21595   -0.17695   -0.01608    9.81561
372660.352700    0.14507   -0.10210    0.44404   -0.16546   -0.02427    9.82814
372660.362700    0.20254    0.20604    0.29364   -0.16646   -0.02140    9.82455
372660.372700    0.01112    0.04664    0.10863   -0.16464   -0.01265    9.82127
372660.382700    0.14358    0.11029    0.32733   -0.16541   -0.01041    9.83087
372660.392700    0.16518    0.24958    0.42554   -0.16654   -0.01666    9.82451
372660.402700   -0.05609    0.16960    0.41912   -0.16901   -0.01583    9.81559
372660.412700    0.05208    0.14610    0.28631   -0.16925   -0.01272    9.82305
372660.422700    0.16690    0.06388    0.20965   -0.16411    0.00171    9.83576
372660.432700    0.15241   -0.02017    0.44651   -0.17243   -0.02943    9.82070
372660.442700    0.06068    0.17567    0.26024   -0.17119   -0.03851    9.82292
372660.452700    0.07947    0.05615    0.22930   -0.17222   -0.01538    9.82415
372660.462700    0.13012    0.03060    0.38428   -0.16639   -0.01750    9.81845
372660.472700    0.02429    0.19876    0.13138   -0.16848   -0.02741    9.82710
372660.482700   -0.15292    0.13052    0.24815   -0.15331   -0.01263    9.82588
372660.492700    0.05586    0.00246    0.29152   -0.17883   -0.01002    9.81235
372660.502700    0.13591    0.05575    0.23016   -0.17011   -0.02325    9.81850
372660.512700   -0.11940    0.06320    0.21348   -0.16992   -0.00761    9.82230
372660.522700    0.06452    0.00544    0.19337   -0.17056   -0.00713    9.82087
372660.532700    0.10336    0.20690    0.32011   -0.16439   -0.02288    9.83746
372660.542700    0.13545    0.11322    0.25852   -0.17240   -0.00199    9.82306
372660.552700   -0.01759    0.12473    0.30504   -0.16685   -0.01243    9.82064
372660.562700   -0.02137    0.22173    0.27662   -0.16442   -0.01379    9.82956
372660.572700    0.03558    0.08789    0.35191   -0.15863   -0.00988    9.82417
372660.582700    0.15075    0.00653    0.27250   -0.17049   -0.02784    9.81792
