
Project:     run2
Program:     Inertial Explorer Version 9.00.2207
Profile:     ARLI_IMU_BIASES
Source:      GNSS/INS Epochs(Smoothed TC Combined)
SolFile:      C:\Users\pleba\Documents\gnss_course\run2\run2.cts
ProcessInfo: run2 by Unknown on 4/24/2026 at 09:12:41

Datum:       ETRS89
Master 1:    Name BUDD00DNK, Status ENABLED
             Antenna height 2.694 m, to ARP [LEIAR25.R4(LEIT)]
             Lat, Lon, El Hgt 55 44 19.91720, 12 29 59.84215, 87.941 m [ETRF2000, 2024.003]
Remote:      Antenna height 0.000 m, to L1PC [Generic(NONE)]
IMU to GNSS Antenna Lever Arms:
             x=0.000, y=0.000, z=0.000 m (x-right, y-fwd, z-up)
Body to IMU Rotations:
             xRot=0.000, yRot=0.000, zRot=0.000 degrees

  GPSTime      AccBiasX      AccBiasY      AccBiasZ    GyroDriftX    GyroDriftY    GyroDriftZ
    (sec)       (m/s^2)       (m/s^2)       (m/s^2)       (deg/s)       (deg/s)       (deg/s)
372659.03  -3.64576E-03   1.18322E-02   9.50989E-03   8.59182E-02   7.86677E-02   2.49826E-01
372659.04  -3.64575E-03   1.18323E-02   9.50990E-03   8.59182E-02   7.86677E-02   2.49826E-01
372659.04  -3.64575E-03   1.18323E-02   9.50990E-03   8.59182E-02   7.86677E-02   2.49826E-01
372659.05  -3.64574E-03   1.18323E-02   9.50990E-03   8.59182E-02   7.86677E-02   2.49826E-01
372659.05  -3.64574E-03   1.18323E-02   9.50990E-03   8.59182E-02   7.86677E-02   2.49826E-01
372659.06  -3.64573E-03   1.18323E-02   9.50990E-03   8.59182E-02   7.86677E-02   2.49826E-01
372659.06  -3.64573E-03   1.18323E-02   9.50990E-03   8.59182E-02   7.86677E-02   2.49826E-01
372659.07  -3.64572E-03   1.18324E-02   9.50990E-03   8.59182E-02   7.86677E-02   2.49826E-01
372659.07  -3.64571E-03   1.18324E-02   9.50990E-03   8.59182E-02   7.86677E-02   2.49827E-01
372659.08  -3.64571E-03   1.18324E-02   9.50990E-03   8.59182E-02   7.86677E-02   2.49827E-01
372659.08  -3.64570E-03   1.18324E-02   9.50990E-03   8.59182E-02   7.86677E-02   2.49827E-01
372659.09  -3.64570E-03   1.18324E-02   9.50990E-03   8.59182E-02   7.86677E-02   2.49827E-01
372659.09  -3.64569E-03   1.18324E-02   9.50990E-03   8.59182E-02   7.86677E-02   2.49827E-01
372659.10  -3.64569E-03   1.18325E-02   9.50990E-03   8.59182E-02   7.86677E-02   2.49827E-01
372659.10  -3.64568E-03   1.18325E-02   9.50990E-03   8.59182E-02   7.86677E-02   2.49827E-01
372659.11  -3.64568E-03   1.18325E-02   9.50990E-03   8.59182E-02   7.86677E-02   2.49827E-01
372659.11  -3.64567E-03   1.18325E-02   9.50990E-03   8.59182E-02   7.86677E-02   2.49827E-01
372659.12  -3.64566E-03   1.18325E-02   9.50990E-03   8.59183E-02   7.86677E-02   2.49827E-01
372659.12  -3.64566E-03   1.18325E-02   9.50990E-03   8.59183E-02   7.86677E-02   2.49827E-01
372659.13  -3.64565E-03   1.18326E-02   9.50990E-03   8.59183E-02   7.86677E-02   2.49827E-01
372659.13  -3.64565E-03   1.18326E-02   9.50990E-03   8.59183E-02   7.86677E-02   2.49828E-01
372659.14  -3.64564E-03   1.18326E-02   9.50990E-03   8.59183E-02   7.86677E-02   2.49828E-01
372659.14  -3.64564E-03   1.18326E-02   9.50991E-03   8.59183E-02   7.86677E-02   2.49828E-01
372659.15  -3.64563E-03   1.18326E-02   9.50991E-03   8.59183E-02   7.86677E-02   2.49828E-01
372659.15  -3.64562E-03   1.18327E-02   9.50991E-03   8.59183E-02   7.86677E-02   2.49828E-01
