time_s,North_m,East_m,Down_m,Vel_N_ms,Vel_E_ms,Vel_D_ms,ECEF_X_m,ECEF_Y_m,ECEF_Z_m
121.17,775.4478916886279,-128.71775456628075,-333.80005758669404,17.779167600312174,-5.973641361799916,-9.129736522220366,3509005.6815740447,778923.3223453913,5251687.109715709
121.18,775.6255973613222,-128.77759048304526,-333.89153816009025,17.77343402340483,-5.98027491367497,-9.14195039476077,3509005.6013071933,778923.2432320039,5251687.285290887
121.19,775.8033405606493,-128.83744527287288,-333.98311680113534,17.774024643757496,-5.983744299768776,-9.152559575469539,3509005.5210679737,778923.1641054186,5251687.46096826
121.2,775.9811176978264,-128.8971766349117,-334.0748948190527,17.776483966735302,-5.97667225146545,-9.169387698562192,3509005.4408840556,778923.0851175443,5251687.636829585
121.21000000000001,776.1589223715941,-128.95690315866648,-334.1668867516449,17.779139582794514,-5.973992340162041,-9.189258075236056,3509005.36079429,778923.0061555294,5251687.812883284
121.22,776.3368062593529,-129.0167251000077,-334.2589027988139,17.785305741016057,-5.97946021680269,-9.19748920654746,3509005.2806744967,778922.927089107,5251687.989001468
121.23,776.5147748570876,-129.07656132621537,-334.3508133658136,17.79300842223342,-5.982235166091739,-9.19320087740147,3509005.200431512,778922.8479807015,5251688.165080063
121.24000000000001,776.6928185174877,-129.1364463699499,-334.44247042034965,17.80058016407567,-5.98641465011805,-9.174870621998785,3509005.1199993454,778922.7687802883,5251688.340991234
121.25,776.8708264130146,-129.19640789756102,-334.5337918139311,17.80071976329457,-5.992906733320558,-9.146383151407736,3509005.039428363,778922.6894707097,5251688.516604731
121.26,777.0488262620374,-129.25645955955966,-334.6248177291114,17.80022986007608,-6.001079718806164,-9.11718874314745,3509004.9587212065,778922.6100385691,5251688.691969367
121.27,777.2267955600087,-129.31665486004948,-334.71555269691964,17.79802979040455,-6.0133799560567915,-9.088060784656717,3509004.8779101265,778922.5304362199,5251688.867076234
121.28,777.4047330771731,-129.37683244664015,-334.8061804199883,17.795177723834207,-6.01629910244353,-9.071201832145318,3509004.7970619895,778922.4508437887,5251689.042076548
121.29,777.5826454155313,-129.4370097015126,-334.8968328563278,17.792548461869085,-6.017250032241351,-9.067229709861149,3509004.716247673,778922.371259206,5251689.217083138
121.3,777.7606595940804,-129.4973826383689,-334.9876202081299,17.79846140740746,-6.0306124813921045,-9.074900063105853,3509004.63546762,778922.2914817836,5251689.39225856
121.31,777.9388715159549,-129.5579898343617,-335.07876008961,17.813615273199776,-6.050683902667171,-9.100958817811273,3509004.554772234,778922.2114831955,5251689.567836691
121.32000000000001,778.1171534260493,-129.61855880734944,-335.17030874345585,17.823332421922878,-6.054826175846062,-9.13689655742601,3509004.474236464,778922.1315591985,5251689.743792198
121.33,778.2955022838539,-129.67904345654966,-335.26209019019905,17.831034652097593,-6.0505853523242985,-9.164395333129015,3509004.3937561675,778922.0517338944,5251689.919977851
121.34,778.474013679993,-129.73968938573682,-335.35397163374626,17.844437931910434,-6.059923745374829,-9.180228013533364,3509004.31323451,778921.9717342005,5251690.096337593
121.35000000000001,778.6525575192022,-129.80037466890516,-335.44607044677696,17.85106856180537,-6.065660141756413,-9.199996858934327,3509004.2328145187,778921.8917167659,5251690.272895325
121.36,778.8310811900094,-129.86103952270497,-335.53832334180913,17.851934228168897,-6.06621031101575,-9.21685859470324,3509004.1524909656,778921.811741669,5251690.449569128
121.37,779.009513494502,-129.9217234686756,-335.6307375052366,17.846131707543883,-6.067666502427162,-9.233230411064318,3509004.0723338365,778921.7317839637,5251690.62632491
121.38,779.1878976129308,-129.9824767354527,-335.72328448783117,17.84098512139283,-6.072773294202483,-9.24754230595889,3509003.992303543,778921.6517834093,5251690.803163425
121.39,779.3662003245681,-130.04319328179372,-335.8158719344789,17.833842479303204,-6.072027527175047,-9.255010525968945,3509003.91235322,778921.5718382242,5251690.979989624
121.4,779.5444771494604,-130.10400870520277,-335.9084477775151,17.829735802914467,-6.078370743423976,-9.256726389124571,3509003.832438855,778921.4917997377,5251691.15679167
121.41,779.7227613542452,-130.16500293174727,-336.00099223401844,17.828858921740785,-6.092405363014737,-9.255205899998508,3509003.752540056,778921.4115815503,5251691.333571913
121.42,779.9010856185845,-130.22602173488525,-336.0935575334826,17.83123721856139,-6.0987220115847425,-9.256088565906849,3509003.6726256874,778921.3313347311,5251691.510391917
121.43,780.0794987391195,-130.28709068835693,-336.18609874483707,17.837953749628362,-6.104170912367766,-9.254776956116622,3509003.592637235,778921.2510200926,5251691.687241969
121.44,780.2580410240146,-130.34817347585465,-336.27843507317556,17.84880356489201,-6.106909485807811,-9.240680878931121,3509003.512435039,778921.1706438289,5251691.863995232
